index_code,trade_date,close
sh000300,2025-02-20,3928.8959
sh000300,2025-02-21,3978.444
sh000300,2025-02-24,3969.7169
sh000300,2025-02-25,3925.6505
sh000300,2025-02-26,3959.9413
sh000300,2025-02-27,3968.1159
sh000300,2025-02-28,3890.0487
sh000300,2025-03-03,3888.4738
sh000300,2025-03-04,3885.2208
sh000300,2025-03-05,3902.5706
sh000300,2025-03-06,3956.2369
sh000300,2025-03-07,3944.0143
sh000300,2025-03-10,3928.8018
sh000300,2025-03-11,3941.4157
sh000300,2025-03-12,3927.2315
sh000300,2025-03-13,3911.5793
sh000300,2025-03-14,4006.5567
sh000300,2025-03-17,3996.7876
sh000300,2025-03-18,4007.7229
sh000300,2025-03-19,4010.168
sh000300,2025-03-20,3974.9918
sh000300,2025-03-21,3914.6956
sh000300,2025-03-24,3934.8486
sh000300,2025-03-25,3932.2951
sh000300,2025-03-26,3919.3566
sh000300,2025-03-27,3932.4117
sh000300,2025-03-28,3915.1662
sh000300,2025-03-31,3887.3056
sh000300,2025-04-01,3887.6841
sh000300,2025-04-02,3884.3858
sh000300,2025-04-03,3861.5034
sh000300,2025-04-07,3589.4406
sh000300,2025-04-08,3650.759
sh000300,2025-04-09,3686.7943
sh000300,2025-04-10,3735.1151
sh000300,2025-04-11,3750.5167
sh000300,2025-04-14,3759.1422
sh000300,2025-04-15,3761.2348
sh000300,2025-04-16,3772.8204
sh000300,2025-04-17,3772.2221
sh000300,2025-04-18,3772.523
sh000300,2025-04-21,3784.8806
sh000300,2025-04-22,3783.9522
sh000300,2025-04-23,3786.8824
sh000300,2025-04-24,3784.3574
sh000300,2025-04-25,3786.9937
sh000300,2025-04-28,3781.6188
sh000300,2025-04-29,3775.0767
sh000300,2025-04-30,3770.5705
sh000300,2025-05-06,3808.5424
sh000300,2025-05-07,3831.627
sh000300,2025-05-08,3852.8963
sh000300,2025-05-09,3846.1566
sh000300,2025-05-12,3890.6096
sh000300,2025-05-13,3896.2583
sh000300,2025-05-14,3943.2108
sh000300,2025-05-15,3907.1992
sh000300,2025-05-16,3889.0854
sh000300,2025-05-19,3877.1453
sh000300,2025-05-20,3898.1705
sh000300,2025-05-21,3916.3807
sh000300,2025-05-22,3913.8651
sh000300,2025-05-23,3882.2741
sh000300,2025-05-26,3860.1067
sh000300,2025-05-27,3839.3969
sh000300,2025-05-28,3836.2366
sh000300,2025-05-29,3858.6998
sh000300,2025-05-30,3840.2323
sh000300,2025-06-03,3852.0127
sh000300,2025-06-04,3868.7429
sh000300,2025-06-05,3877.5557
sh000300,2025-06-06,3873.9841
sh000300,2025-06-09,3885.2459
sh000300,2025-06-10,3865.4652
sh000300,2025-06-11,3894.6252
sh000300,2025-06-12,3892.1992
sh000300,2025-06-13,3864.1822
sh000300,2025-06-16,3873.7951
sh000300,2025-06-17,3870.3786
sh000300,2025-06-18,3874.9708
sh000300,2025-06-19,3843.0912
sh000300,2025-06-20,3846.6443
sh000300,2025-06-23,3857.9016
sh000300,2025-06-24,3904.0342
sh000300,2025-06-25,3960.0662
sh000300,2025-06-26,3946.0195
sh000300,2025-06-27,3921.7578
sh000300,2025-06-30,3936.0791
sh000300,2025-07-01,3942.762
sh000300,2025-07-02,3943.6849
sh000300,2025-07-03,3968.0676
sh000300,2025-07-04,3982.2034
sh000300,2025-07-07,3965.1746
sh000300,2025-07-08,3998.4527
sh000300,2025-07-09,3991.4006
sh000300,2025-07-10,4010.0243
sh000300,2025-07-11,4014.807
sh000300,2025-07-14,4017.6678
sh000300,2025-07-15,4019.0644
sh000300,2025-07-16,4007.2019
sh000300,2025-07-17,4034.491
sh000300,2025-07-18,4058.5486
sh000300,2025-07-21,4085.6072
sh000300,2025-07-22,4118.9582
sh000300,2025-07-23,4119.7685
sh000300,2025-07-24,4149.0368
sh000300,2025-07-25,4127.1634
sh000300,2025-07-28,4135.8242
sh000300,2025-07-29,4152.0247
sh000300,2025-07-30,4151.2379
sh000300,2025-07-31,4075.5912
sh000300,2025-08-01,4054.9286
sh000300,2025-08-04,4070.7023
sh000300,2025-08-05,4103.45
sh000300,2025-08-06,4113.4852
sh000300,2025-08-07,4114.666
sh000300,2025-08-08,4104.9669
sh000300,2025-08-11,4122.5106
sh000300,2025-08-12,4143.8252
sh000300,2025-08-13,4176.5776
sh000300,2025-08-14,4173.3131
sh000300,2025-08-15,4202.3533
sh000300,2025-08-18,4239.4125
sh000300,2025-08-19,4223.3741
sh000300,2025-08-20,4271.3958
sh000300,2025-08-21,4288.0707
sh000300,2025-08-22,4377.9977
sh000300,2025-08-25,4469.2217
sh000300,2025-08-26,4452.5905
sh000300,2025-08-27,4386.1266
sh000300,2025-08-28,4463.782
sh000300,2025-08-29,4496.7591
sh000300,2025-09-01,4523.7111
sh000300,2025-09-02,4490.4528
sh000300,2025-09-03,4459.8296
sh000300,2025-09-04,4365.2085
sh000300,2025-09-05,4460.3249
sh000300,2025-09-08,4467.5733
sh000300,2025-09-09,4436.2584
sh000300,2025-09-10,4445.3649
sh000300,2025-09-11,4548.0345
sh000300,2025-09-12,4521.998
sh000300,2025-09-15,4533.0557
sh000300,2025-09-16,4523.3367
sh000300,2025-09-17,4551.023
sh000300,2025-09-18,4498.109
sh000300,2025-09-19,4501.9195
sh000300,2025-09-22,4522.608
sh000300,2025-09-23,4519.7781
sh000300,2025-09-24,4566.0708
sh000300,2025-09-25,4593.4875
sh000300,2025-09-26,4550.0487
sh000300,2025-09-29,4620.0528
sh000300,2025-09-30,4640.6935
sh000300,2025-10-09,4709.482
sh000300,2025-10-10,4616.8341
sh000300,2025-10-13,4593.9785
sh000300,2025-10-14,4539.0644
sh000300,2025-10-15,4606.2879
sh000300,2025-10-16,4618.4218
sh000300,2025-10-17,4514.2345
sh000300,2025-10-20,4538.2201
sh000300,2025-10-21,4607.8715
sh000300,2025-10-22,4592.57
sh000300,2025-10-23,4606.3447
sh000300,2025-10-24,4660.6835
sh000300,2025-10-27,4716.0186
sh000300,2025-10-28,4691.973
sh000300,2025-10-29,4747.8378
sh000300,2025-10-30,4709.911
sh000300,2025-10-31,4640.6676
sh000300,2025-11-03,4653.4028
sh000300,2025-11-04,4618.699
sh000300,2025-11-05,4627.257
sh000300,2025-11-06,4693.4032
sh000300,2025-11-07,4678.7944
sh000300,2025-11-10,4695.0507
sh000300,2025-11-11,4652.1655
sh000300,2025-11-12,4645.9079
sh000300,2025-11-13,4702.0738
sh000300,2025-11-14,4628.1398
sh000300,2025-11-17,4598.0525
sh000300,2025-11-18,4568.1928
sh000300,2025-11-19,4588.2922
sh000300,2025-11-20,4564.9483
sh000300,2025-11-21,4453.6076
sh000300,2025-11-24,4448.0478
sh000300,2025-11-25,4490.4047
sh000300,2025-11-26,4517.6255
sh000300,2025-11-27,4515.4027
sh000300,2025-11-28,4526.6616
sh000300,2025-12-01,4576.4856
sh000300,2025-12-02,4554.3347
sh000300,2025-12-03,4531.0486
sh000300,2025-12-04,4546.5664
sh000300,2025-12-05,4584.5368
sh000300,2025-12-08,4621.7545
sh000300,2025-12-09,4598.2232
sh000300,2025-12-10,4591.8273
sh000300,2025-12-11,4552.1848
sh000300,2025-12-12,4580.95
sh000300,2025-12-15,4552.0596
sh000300,2025-12-16,4497.5545
sh000300,2025-12-17,4579.875
sh000300,2025-12-18,4552.7926
sh000300,2025-12-19,4568.1781
sh000300,2025-12-22,4611.6235
sh000300,2025-12-23,4620.7341
sh000300,2025-12-24,4634.0586
sh000300,2025-12-25,4642.5357
sh000300,2025-12-26,4657.24
sh000300,2025-12-29,4639.3721
sh000300,2025-12-30,4651.2818
sh000300,2025-12-31,4629.9395
